V,노선,연도,실현율,밴드체계,밴드L,밴드U,폭,적중,interval_score
V-021,안양-성남,2022,0.658,LOO,0.5643,1.0817,0.5174,1,0.5174
V-021,안양-성남,2023,0.512,LOO,0.5643,1.0817,0.5174,0,1.0402
V-021,안양-성남,2024,0.713,LOO,0.5643,1.0817,0.5174,1,0.5174
V-014,백양터널,2006,0.768,전체62,0.5544,1.0726,0.5182,1,0.5182
V-014,백양터널,2016,0.986,전체62,0.5544,1.0726,0.5182,1,0.5182
V-014,백양터널,2020,0.824,전체62,0.5544,1.0726,0.5182,1,0.5182
V-014,백양터널,2023,0.768,전체62,0.5544,1.0726,0.5182,1,0.5182
V-007,부산-울산,2022,0.682,LOO,0.5567,1.083,0.5262,1,0.5262
V-007,부산-울산,2023,0.701,LOO,0.5567,1.083,0.5262,1,0.5262
V-007,부산-울산,2024,0.685,LOO,0.5567,1.083,0.5262,1,0.5262
V-007,부산-울산,2016,0.558,LOO,0.5567,1.083,0.5262,1,0.5262
V-003,천안-논산,2003,0.471,초기군,0.37,0.81,0.44,1,0.44
V-003,천안-논산,2004,0.524,초기군,0.37,0.81,0.44,1,0.44
V-003,천안-논산,2005,0.547,초기군,0.37,0.81,0.44,1,0.44
V-003,천안-논산,2006,0.559,LOO,0.5604,1.083,0.5226,0,0.5367
V-003,천안-논산,2007,0.582,LOO,0.5604,1.083,0.5226,1,0.5226
V-003,천안-논산,2017,0.655,LOO,0.5604,1.083,0.5226,1,0.5226
V-003,천안-논산,2018,0.643,LOO,0.5604,1.083,0.5226,1,0.5226
V-003,천안-논산,2019,0.641,LOO,0.5604,1.083,0.5226,1,0.5226
V-003,천안-논산,2022,0.644,LOO,0.5604,1.083,0.5226,1,0.5226
V-003,천안-논산,2023,0.659,LOO,0.5604,1.083,0.5226,1,0.5226
V-003,천안-논산,2024,0.653,LOO,0.5604,1.083,0.5226,1,0.5226
V-006,서울-춘천,2017,0.907,LOO,0.5446,1.0614,0.5167,1,0.5167
V-006,서울-춘천,2018,0.947,LOO,0.5446,1.0614,0.5167,1,0.5167
V-006,서울-춘천,2019,0.998,LOO,0.5446,1.0614,0.5167,1,0.5167
V-006,서울-춘천,2022,1.03,LOO,0.5446,1.0614,0.5167,1,0.5167
V-006,서울-춘천,2023,0.99,LOO,0.5446,1.0614,0.5167,1,0.5167
V-006,서울-춘천,2024,1.042,LOO,0.5446,1.0614,0.5167,1,0.5167
V-006,서울-춘천,2020,0.994,LOO,0.5446,1.0614,0.5167,1,0.5167
V-006,서울-춘천,2021,1.026,LOO,0.5446,1.0614,0.5167,1,0.5167
V-004,대구-부산,2017,0.585,LOO,0.5759,1.0798,0.5039,1,0.5039
V-004,대구-부산,2018,0.527,LOO,0.5759,1.0798,0.5039,0,0.993
V-004,대구-부산,2019,0.501,LOO,0.5759,1.0798,0.5039,0,1.253
V-004,대구-부산,2021,0.503,LOO,0.5759,1.0798,0.5039,0,1.233
V-004,대구-부산,2022,0.512,LOO,0.5759,1.0798,0.5039,0,1.143
V-004,대구-부산,2023,0.537,LOO,0.5759,1.0798,0.5039,0,0.893
V-004,대구-부산,2024,0.545,LOO,0.5759,1.0798,0.5039,0,0.813
V-010,거가대교,2011,0.693,초기군,0.37,0.81,0.44,1,0.44
V-010,거가대교,2012,0.647,초기군,0.37,0.81,0.44,1,0.44
V-010,거가대교,2013,0.664,초기군,0.37,0.81,0.44,1,0.44
V-010,거가대교,2014,0.684,전체62,0.5544,1.0726,0.5182,1,0.5182
V-010,거가대교,2015,0.675,전체62,0.5544,1.0726,0.5182,1,0.5182
V-002,광주-원주(제2영동),2019,0.784,LOO,0.548,1.0795,0.5314,1,0.5314
V-002,광주-원주(제2영동),2020,0.751,LOO,0.548,1.0795,0.5314,1,0.5314
V-002,광주-원주(제2영동),2021,0.78,LOO,0.548,1.0795,0.5314,1,0.5314
V-002,광주-원주(제2영동),2022,0.802,LOO,0.548,1.0795,0.5314,1,0.5314
V-002,광주-원주(제2영동),2023,0.805,LOO,0.548,1.0795,0.5314,1,0.5314
V-002,광주-원주(제2영동),2024,0.821,LOO,0.548,1.0795,0.5314,1,0.5314
V-013,일산대교,2011,0.688,전체62,0.5544,1.0726,0.5182,1,0.5182
V-013,일산대교,2020,1.03,전체62,0.5544,1.0726,0.5182,1,0.5182
V-001,인천공항고속도로,2001,0.47,LOO,0.5508,1.0754,0.5247,0,1.3322
V-001,인천공항고속도로,2002,0.446,LOO,0.5508,1.0754,0.5247,0,1.5722
V-001,인천공항고속도로,2003,0.415,LOO,0.5508,1.0754,0.5247,0,1.8822
V-001,인천공항고속도로,2004,0.408,LOO,0.5508,1.0754,0.5247,0,1.9522
V-001,인천공항고속도로,2005,0.528,LOO,0.5508,1.0754,0.5247,0,0.7522
V-001,인천공항고속도로,2006,0.523,LOO,0.5508,1.0754,0.5247,0,0.8022
V-001,인천공항고속도로,2007,0.521,LOO,0.5508,1.0754,0.5247,0,0.8222
