V,노선,연도,협약_대일,실측_대일,실현율_pct,밴드체계,플래그,출처요지,출처스크립트,ledger_version
V-021,안양-성남,2022,127390,83792,65.8,LOO,,RR-25-10 표5-11 '22~'24,backtest_case_anyang.py,v1_2026-07-31
V-021,안양-성남,2023,128209,65642,51.2,LOO,'23 동반 급락 이벤트(원인 미규명),RR-25-10 표5-11,backtest_case_anyang.py,v1_2026-07-31
V-021,안양-성남,2024,129619,92450,71.3,LOO,,RR-25-10 표5-11,backtest_case_anyang.py,v1_2026-07-31
V-014,백양터널,2006,66420,51035,76.8,전체62,협약 보간✚(2003·2023 축 2점 기하보간 CAGR 2.26%)·실측 시의회 스니펫✚·연차7,"협약축=경실련 협약 인용 2점 보간, 실측=부산시의회 스니펫",backtest_case_baekyang.py,v1_2026-07-31
V-014,백양터널,2016,83190,82034,98.6,전체62,협약 보간✚·실측=정점,"협약축 보간, 실측 정점 82,034",backtest_case_baekyang.py,v1_2026-07-31
V-014,백양터널,2020,91020,75000,82.4,전체62,"협약 보간✚·실측 ""약""✚(개략치)","협약축 보간, 실측 '약 75,000' 보도",backtest_case_baekyang.py,v1_2026-07-31
V-014,백양터널,2023,97067,74524,76.8,전체62,협약축 종점(원문 2점 중 하나),"협약 2023 종점=경실련 협약 인용, 실측=경실련(보도 74%·직접 계산 76.8%)",backtest_case_baekyang.py,v1_2026-07-31
V-007,부산-울산,2022,64249,43818,68.2,LOO,,RR-25-10 표5-11,backtest_case_busanulsan.py,v1_2026-07-31
V-007,부산-울산,2023,65050,45624,70.1,LOO,,RR-25-10 표5-11,backtest_case_busanulsan.py,v1_2026-07-31
V-007,부산-울산,2024,65609,44915,68.5,LOO,,RR-25-10 표5-11,backtest_case_busanulsan.py,v1_2026-07-31
V-007,부산-울산,2016,,,55.8,LOO,비율만✚·하한 경계(밴드 하한 바로 안쪽),국토부 자료 보도(RATIO_2016=0.558),backtest_case_busanulsan.py,v1_2026-07-31
V-003,천안-논산,2003,46423,21854,47.1,초기군,"체제=최초·연차1·순환 주의(초기군 prior 출처에 천안논산 초기 실적 포함 — B값 참고 표기, 밴드 채점은 포함)",NABO 표5,backtest_case_cheonan.py,v1_2026-07-31
V-003,천안-논산,2004,48081,25189,52.4,초기군,체제=최초·연차2·순환 주의(상동),NABO 표5,backtest_case_cheonan.py,v1_2026-07-31
V-003,천안-논산,2005,50344,27554,54.7,초기군,체제=최초·연차3·순환 주의(상동),NABO 표5,backtest_case_cheonan.py,v1_2026-07-31
V-003,천안-논산,2006,53692,30017,55.9,LOO,체제=최초,NABO 표5,backtest_case_cheonan.py,v1_2026-07-31
V-003,천안-논산,2007,55624,32390,58.2,LOO,체제=최초,NABO 표5,backtest_case_cheonan.py,v1_2026-07-31
V-003,천안-논산,2017,80674,52806,65.5,LOO,체제=최초,KOTI 이슈페이퍼 표3-3,backtest_case_cheonan.py,v1_2026-07-31
V-003,천안-논산,2018,82842,53276,64.3,LOO,체제=최초,KOTI 이슈페이퍼 표3-3,backtest_case_cheonan.py,v1_2026-07-31
V-003,천안-논산,2019,84830,54355,64.1,LOO,체제=최초,KOTI 이슈페이퍼 표3-3,backtest_case_cheonan.py,v1_2026-07-31
V-003,천안-논산,2022,90036,57995,64.4,LOO,"체제=변경(2019.12 재구조화·요금 -48%)·협약축 90,036 고정",RR-25-10 표5-11,backtest_case_cheonan.py,v1_2026-07-31
V-003,천안-논산,2023,90036,59346,65.9,LOO,"체제=변경·협약축 90,036 고정",RR-25-10 표5-11,backtest_case_cheonan.py,v1_2026-07-31
V-003,천안-논산,2024,90036,58819,65.3,LOO,"체제=변경·협약축 90,036 고정",RR-25-10 표5-11,backtest_case_cheonan.py,v1_2026-07-31
V-006,서울-춘천,2017,55915,50724,90.7,LOO,체제=최초(값 연속성 정황 — 판별 각주),KOTI 이슈페이퍼 표3-3 절대값,backtest_case_chuncheon.py,v1_2026-07-31
V-006,서울-춘천,2018,56303,53347,94.7,LOO,체제=최초,KOTI 이슈페이퍼 표3-3,backtest_case_chuncheon.py,v1_2026-07-31
V-006,서울-춘천,2019,57801,57665,99.8,LOO,체제=최초,KOTI 이슈페이퍼 표3-3,backtest_case_chuncheon.py,v1_2026-07-31
V-006,서울-춘천,2022,60903,62720,103,LOO,체제=변경20('20.12.22 재구조화 축),RR-25-10 표5-11,backtest_case_chuncheon.py,v1_2026-07-31
V-006,서울-춘천,2023,61322,60712,99,LOO,체제=변경20,RR-25-10 표5-11,backtest_case_chuncheon.py,v1_2026-07-31
V-006,서울-춘천,2024,62246,64834,104.2,LOO,체제=변경20,RR-25-10 표5-11,backtest_case_chuncheon.py,v1_2026-07-31
V-006,서울-춘천,2020,,,99.4,LOO,비율만✚·3Q누적(연간 아님)·체제=최초('20.12.24 인하 전),"MKIF 재구조화 공시: '20.3Q 누적 일평균 59,636대=협약대비 99.4%",backtest_case_chuncheon.py,v1_2026-07-31
V-006,서울-춘천,2021,,,102.6,LOO,비율만✚(절대값 미보유)·체제=변경20,census 실현율 102.6%,backtest_case_chuncheon.py,v1_2026-07-31
V-004,대구-부산,2017,84393,49374,58.5,LOO,체제=최초,KOTI 이슈페이퍼,backtest_case_daegu.py,v1_2026-07-31
V-004,대구-부산,2018,86505,45582,52.7,LOO,체제=최초,KOTI 이슈페이퍼,backtest_case_daegu.py,v1_2026-07-31
V-004,대구-부산,2019,88700,44397,50.1,LOO,체제=최초,KOTI 이슈페이퍼,backtest_case_daegu.py,v1_2026-07-31
V-004,대구-부산,2021,93400,47000,50.3,LOO,"협약 보간✚('19 88,700→'22 95,831 CAGR 2.6%)·실측 추정✚(KIS '약 4.7만대')·체제=변경('20.12.24 요금 반값)","협약=보간, 실측=KIS 리포트",backtest_case_daegu.py,v1_2026-07-31
V-004,대구-부산,2022,95831,49089,51.2,LOO,체제=변경,RR-25-10 표5-11,backtest_case_daegu.py,v1_2026-07-31
V-004,대구-부산,2023,95831,51440,53.7,LOO,"체제=변경·협약축 95,831 고정",RR-25-10 표5-11,backtest_case_daegu.py,v1_2026-07-31
V-004,대구-부산,2024,95831,52210,54.5,LOO,"체제=변경·협약축 95,831 고정",RR-25-10 표5-11,backtest_case_daegu.py,v1_2026-07-31
V-010,거가대교,2011,30335,21007,69.3,초기군,연차1·협약=한산신문 '실시협약상'·실측=부산일보 연간(만대)÷일수 환산,"협약 한산신문, 실측 부산일보 연간 환산",backtest_case_geoga.py,v1_2026-07-31
V-010,거가대교,2012,32142,20799,64.7,초기군,"연차2·협약 보간✚('11 30,335↔'15 38,000 기하보간)","협약=보간, 실측=부산일보 연간 환산",backtest_case_geoga.py,v1_2026-07-31
V-010,거가대교,2013,34057,22620,66.4,초기군,연차3·협약 보간✚,"협약=보간, 실측=부산일보 연간 환산",backtest_case_geoga.py,v1_2026-07-31
V-010,거가대교,2014,36086,24667,68.4,전체62,연차4·협약 보간✚,"협약=보간, 실측=부산일보 연간 환산",backtest_case_geoga.py,v1_2026-07-31
V-010,거가대교,2015,38000,25651,67.5,전체62,연차5·협약=오마이뉴스(차수 미상),"협약 오마이뉴스 38,000, 실측 부산일보 연간 환산 — ACT_REF '16~'18·'20은 협약축 없음 참고용(채점 제외)",backtest_case_geoga.py,v1_2026-07-31
V-002,광주-원주(제2영동),2019,58457,45830,78.4,LOO,협약 역산✚(실측÷공표비율),국토부·KOTI 공표 비율에서 협약 역산,backtest_case_gwangju.py,v1_2026-07-31
V-002,광주-원주(제2영동),2020,58460,43903,75.1,LOO,협약 역산✚,공표 비율 역산,backtest_case_gwangju.py,v1_2026-07-31
V-002,광주-원주(제2영동),2021,58919,45957,78,LOO,협약 역산✚,공표 비율 역산,backtest_case_gwangju.py,v1_2026-07-31
V-002,광주-원주(제2영동),2022,59373,47640,80.2,LOO,,RR-25-10 표5-11 원표,backtest_case_gwangju.py,v1_2026-07-31
V-002,광주-원주(제2영동),2023,59846,48151,80.5,LOO,,RR-25-10 표5-11 원표,backtest_case_gwangju.py,v1_2026-07-31
V-002,광주-원주(제2영동),2024,60320,49529,82.1,LOO,,RR-25-10 표5-11 원표,backtest_case_gwangju.py,v1_2026-07-31
V-013,일산대교,2011,,,68.8,전체62,비율만✚·연차4,census 보도 실현율(협약축 연도별 미공개 — 지자체 비공개 패턴),backtest_case_ilsan.py,v1_2026-07-31
V-013,일산대교,2020,,,103,전체62,비율만✚·연차13,census 보도 실현율 103%,backtest_case_ilsan.py,v1_2026-07-31
V-001,인천공항고속도로,2001,110622,51939,47,LOO,체제=최초(1995.10.27 협약),"협약=NABO 예산현안분석 22호 원표, 실측=NABO '01~'07",backtest_case_incheon.py,v1_2026-07-31
V-001,인천공항고속도로,2002,121496,54244,44.6,LOO,체제=최초,NABO,backtest_case_incheon.py,v1_2026-07-31
V-001,인천공항고속도로,2003,133438,55323,41.5,LOO,체제=최초,NABO,backtest_case_incheon.py,v1_2026-07-31
