panel_version,지표,단위,노선,원문표기,연도,협약,실측,실현율_pct,비고,출처
v1_2026-07-31,교통량,대/일,인천공항,인천국제공항,2022,127136,80996,63.71,재구조화6(NABO 수입패널 제외 표본),KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,인천공항,인천국제공항,2023,127136,106510,83.78,재구조화6(NABO 수입패널 제외 표본),KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,인천공항,인천국제공항,2024,127136,126089,99.18,재구조화6(NABO 수입패널 제외 표본),KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,천안-논산,천안-논산,2022,90036,57995,64.41,재구조화6(NABO 수입패널 제외 표본),KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,천안-논산,천안-논산,2023,90036,59346,65.91,재구조화6(NABO 수입패널 제외 표본),KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,천안-논산,천안-논산,2024,90036,58819,65.33,재구조화6(NABO 수입패널 제외 표본),KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,대구-부산,대구-부산,2022,95831,49089,51.22,재구조화6(NABO 수입패널 제외 표본),KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,대구-부산,대구-부산,2023,95831,51440,53.68,재구조화6(NABO 수입패널 제외 표본),KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,대구-부산,대구-부산,2024,95831,52210,54.48,재구조화6(NABO 수입패널 제외 표본),KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,일산-퇴계원,서울외곽(일산-퇴계원),2022,135945,136219,100.2,재구조화6(NABO 수입패널 제외 표본),KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,일산-퇴계원,서울외곽(일산-퇴계원),2023,137405,139678,101.65,재구조화6(NABO 수입패널 제외 표본),KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,일산-퇴계원,서울외곽(일산-퇴계원),2024,138882,138057,99.41,재구조화6(NABO 수입패널 제외 표본),KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,부산-울산,부산-울산,2022,64249,43818,68.2,재구조화6(NABO 수입패널 제외 표본),KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,부산-울산,부산-울산,2023,65050,45624,70.14,재구조화6(NABO 수입패널 제외 표본),KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,부산-울산,부산-울산,2024,65609,44915,68.46,재구조화6(NABO 수입패널 제외 표본),KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,서울-춘천,서울-춘천,2022,60903,62720,102.98,재구조화6(NABO 수입패널 제외 표본),KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,서울-춘천,서울-춘천,2023,61322,60712,99.01,재구조화6(NABO 수입패널 제외 표본),KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,서울-춘천,서울-춘천,2024,62246,64834,104.16,재구조화6(NABO 수입패널 제외 표본),KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,용인-서울,용인-서울,2022,114145,94030,82.38,,KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,용인-서울,용인-서울,2023,115090,94621,82.21,,KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,용인-서울,용인-서울,2024,116033,95299,82.13,,KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,인천대교,인천대교,2022,64608,53154,82.27,,KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,인천대교,인천대교,2023,66590,67964,102.06,,KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,인천대교,인천대교,2024,68317,74108,108.48,,KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,서수원-평택,서수원-평택,2022,69693,81771,117.33,,KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,서수원-평택,서수원-평택,2023,71181,81777,114.89,,KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,서수원-평택,서수원-평택,2024,72701,82573,113.58,,KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,평택-시흥,평택-시흥,2022,75350,64758,85.94,,KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,평택-시흥,평택-시흥,2023,76224,67062,87.98,,KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,평택-시흥,평택-시흥,2024,77114,66186,85.83,,KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,수원-광명,수원-광명,2022,77620,66499,85.67,,KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,수원-광명,수원-광명,2023,77849,68429,87.9,,KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,수원-광명,수원-광명,2024,78078,68438,87.65,,KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,광주-원주,광주-원주,2022,59373,47640,80.24,,KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,광주-원주,광주-원주,2023,59846,48151,80.46,,KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,광주-원주,광주-원주,2024,60320,49529,82.11,,KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,부산신항제2배후,부산신항 제2배후,2022,43626,20391,46.74,,KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,부산신항제2배후,부산신항 제2배후,2023,49719,21796,43.84,,KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,부산신항제2배후,부산신항 제2배후,2024,57315,20425,35.64,,KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,인천-김포,인천-김포,2022,69366,52386,75.52,,KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,인천-김포,인천-김포,2023,70304,53151,75.6,,KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,인천-김포,인천-김포,2024,71515,54641,76.4,,KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,상주-영천,상주-영천,2022,45724,32600,71.3,,KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,상주-영천,상주-영천,2023,46378,33246,71.68,,KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,상주-영천,상주-영천,2024,47052,33933,72.12,,KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,구리-포천,구리-포천,2022,68112,55025,80.79,,KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,구리-포천,구리-포천,2023,69642,57542,82.63,,KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,구리-포천,구리-포천,2024,71225,58120,81.6,,KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
v1_2026-07-31,교통량,대/일,안양-성남,안양-성남,2022,127390,83792,65.78,,KOTI RR-25-10 표5-11(p.141)←국토부 민자도로 현황보고서(2025) p.12
