노선,연도,교통량실현율_pct,수입실현율_pct,요금실행률,비고
광주-원주,2022,80.24,67.65,0.8431,
광주-원주,2023,80.46,63.9,0.7942,
광주-원주,2024,82.11,63.36,0.7716,
구리-포천,2022,80.79,83.95,1.0391,
구리-포천,2023,82.63,80.94,0.9795,
구리-포천,2024,81.6,82.18,1.0071,
봉담-송산,2022,82.81,73.53,0.8879,
봉담-송산,2023,73.43,64.09,0.8728,
봉담-송산,2024,71.15,61.19,0.86,
부산신항제2배후,2022,46.74,46.63,0.9976,
부산신항제2배후,2023,43.84,41.45,0.9455,
부산신항제2배후,2024,35.64,32.68,0.9169,
상주-영천,2022,71.3,64.96,0.9111,
상주-영천,2023,71.68,60.06,0.8379,
상주-영천,2024,72.12,59.71,0.8279,
서수원-평택,2023,114.89,98.56,0.8579,
서수원-평택,2024,113.58,95.64,0.842,
서울-문산,2022,99.12,91.17,0.9198,
서울-문산,2023,103.14,89.26,0.8654,
서울-문산,2024,104.98,89.8,0.8554,
수원-광명,2022,85.67,78.53,0.9167,
수원-광명,2023,87.9,79.67,0.9064,
수원-광명,2024,87.65,79.89,0.9115,
안양-성남,2022,65.78,70.13,1.0661,
안양-성남,2023,51.2,54.9,1.0723,이례 저점(원인 확인 필요)
안양-성남,2024,71.32,76.33,1.0702,
용인-서울,2022,82.38,74.66,0.9063,
용인-서울,2023,82.21,69.87,0.8499,
용인-서울,2024,82.13,67.34,0.8199,
인천-김포,2022,75.52,63.86,0.8456,
인천-김포,2023,75.6,62.76,0.8302,
인천-김포,2024,76.4,61.96,0.811,
인천대교,2022,82.27,65.04,0.7906,
인천대교,2023,102.06,90.84,0.8901,
인천대교,2024,108.48,96.7,0.8914,
평택-부여,2024,45.87,37.47,0.8169,개통 초기(부분·램프업) | 개통 초기(부분·램프업)
평택-시흥,2022,85.94,85.13,0.9906,
평택-시흥,2023,87.98,84.89,0.9649,
평택-시흥,2024,85.83,80.99,0.9436,
포천-화도,2024,55.29,57.26,1.0356,개통 초기(부분·램프업) | 개통 초기(부분·램프업)
