회사명,사업연도,원본파일,부채비율,자기자본비율,유동비율,당좌비율,차입금의존도,영업이익률,순이익률,ROA_총자산수익률,ROE_자기자본수익률,EBITDA_마진,총자산회전율,자기자본회전율,영업현금흐름_매출비,영업현금흐름_부채상환비,DSCR_근사,이자보상배율,금융비용_매출비,영업수익_원본,영업이익_원본,당기순이익_원본,자산총계_원본,부채총계_원본,자본총계_원본,이자비용_원본,감가상각비_원본,무형자산상각비_원본,순부채,고정장기적합률,유동성지표
[¼_¿ï°í¼Óµµ·Î]°¨»çº¸°í¼_(,2019,[¼_¿ï°í¼Óµµ·Î]°¨»çº¸°í¼_(2020.04.09).pdf,-1.5923355656167637,-1.688232242071704,4.372908209094765,4.372908209094765,2.343810702796268,0.6340781534858978,-0.7818807540718008,-0.14334897058097743,0.08491069356966409,0.7828904153807682,0.18333866108669247,-0.10859800951420613,-0.574893201412646,-0.03920797770567971,0.5702149559120411,0.46182816806985705,1.3729741867758614,157125943711,99630128253,-122853751353,857025696488,2303884109583,-1446858413095,215729864788,2311033650,21071233436,2303884109583,0.9151593761376289,0.08275894245487551
[¼_¿ï°í¼Óµµ·Î]°¨»çº¸°í¼_(,2020,[¼_¿ï°í¼Óµµ·Î]°¨»çº¸°í¼_(2021.04.01).pdf,-1.5607434287526651,-1.78334680127136,4.411146847128861,4.411146847128861,2.4725817021158973,0.651460458313125,-0.449837374134328,-0.08892314474360895,0.04986306907900081,0.7933260325039074,0.19767842748667477,-0.11084687921931308,-0.4837738098916465,-0.03435850895581398,0.6135586288593318,0.5038397445462678,1.2929914032482628,168796448748,109964211863,-75930951268,853894129441,2376683493804,-1522789364363,218252357130,2870419532,21075985591,2376683493804,0.8977437122584306,0.09928015662843075
[¼_¿ï°í¼Óµµ·Î]°¨»çº¸°í¼_(,2021,[¼_¿ï°í¼Óµµ·Î]°¨»çº¸°í¼_(2022.04.07).pdf,-1.5247132708661826,-1.9058027603327565,1.879285479586647,1.879285479586647,0.04564545399849717,0.6503905594845962,-0.44832306959884966,-0.08858937783780052,0.04648402220927241,0.7955064028012299,0.1976016490007273,-0.10368420757572296,-0.5485571999427614,-0.03730322262736733,0.5982055683011127,0.48908123540443244,1.329821126641208,165586327053,107695783895,-74236170428,837980492017,2435006026808,-1597025534791,220200195998,2920919892,21108279600,2435006026808,0.9324764426967628,0.06270798139168848
[¼_¿ï°í¼Óµµ·Î]°¨»çº¸°í¼_(,2022,[¼_¿ï°í¼Óµµ·Î]°¨»çº¸°í¼_(2023.04.04).pdf,-1.4756926267810238,-2.102197813674189,0.9409671635881183,0.9409671635881183,0.09598176120998692,0.6262712887821135,-0.4820560678252358,-0.09846809437273263,0.04684054646628692,0.7750504217674762,0.20426689122899114,-0.09716825405311245,-0.5983494478794075,-0.03939883557655889,0.5642320973079694,0.45592177338277684,1.3736375960625966,162806110057,101960792367,-78481673232,797026424975,2472533632998,-1675507208023,223636593643,3158737337,21063414562,2472533632998,1.0083031885600526,-0.007279324435425065
[¼_¿ï°í¼Óµµ·Î]°¨»çº¸°í¼_(,2023,[¼_¿ï°í¼Óµµ·Î]°¨»çº¸°í¼_(2024.04.01).pdf,-1.4426643599787814,-2.259047916231462,0.8051895866656517,0.8051895866656517,2.978217475243998,0.6211235222797754,-0.3091583956707897,-0.06589454356892617,0.029169165955032633,0.763498088679549,0.21314169206355507,-0.09435023070210811,-0.44301467973898667,-0.028973154392202983,0.5512541573526869,0.44845812840008203,1.3850201009750764,162834230307,101140170676,-50341569402,763971744479,2489820521904,-1725848777425,225528682102,2090566705,21092886230,2489820521904,1.0289418296520665,-0.025198271632582824
[¼_¿ï°í¼Óµµ·Î]°¨»çº¸°í¼_(,2024,[¼_¿ï°í¼Óµµ·Î]°¨»çº¸°í¼_(2025.04.02).pdf,-1.4092439518539854,-2.443530308681974,0.8481801375768205,0.8481801375768205,3.1665556221432447,0.6169601609099774,-0.6653747712536356,-0.14427320312089012,0.05904293579182581,0.7577625700919787,0.2168299871801035,-0.08873636083403455,-0.5829397887109159,-0.036706175227869516,0.5481551183745965,0.44630057406367885,1.3823871103108836,162755077446,100413398770,-108293122426,750611479356,2584753379207,-1834141899851,224990521199,1746680072,21169626939,2584753379207,1.0224645052720733,-0.01956892717868156
[½Å°øÇ×ÇÏÀÌ¿þÀÌ]°¨»çº¸°í¼_(,2019,[½Å°øÇ×ÇÏÀÌ¿þÀÌ]°¨»çº¸°í¼_(2020.03.31).pdf,0.9707218918667906,0.5074282698776628,3.6376696121160332,3.6376696121160332,0.015205051708492142,0.6408403703357703,0.28846924602018964,0.09979923252646121,0.1966765323314014,0.8749095749416081,0.3459614288293192,0.681793761535454,0.5624291366267267,0.3950262993661783,6.685734564293321,4.8970644931327225,0.13086214633979948,261660171094,167682400946,75480912269,756327582469,372545585836,383781996633,34241411601,10432844000,50813744125,372545585836,0.807348988681079,0.1795378636935612
[½Å°øÇ×ÇÏÀÌ¿þÀÌ]°¨»çº¸°í¼_(,2020,[½Å°øÇ×ÇÏÀÌ¿þÀÌ]°¨»çº¸°í¼_(2021.03.30).pdf,1.1179161489028828,0.472162224419516,3.311459313908022,3.311459313908022,0.01978642364530174,0.5590343725592959,0.26832125273485696,0.08413474497987898,0.17819033507671145,0.8355661024993603,0.3135597501962216,0.6640932585865316,0.452041508436465,0.2685333051575967,5.058509276742718,3.3843888007788205,0.1651803044705295,205062988657,114637259199,55022758006,653983773519,345197340280,308786433239,33872366902,6715310000,49991113000,345197340280,0.8605265215669085,0.13153656100842204
[½Å°øÇ×ÇÏÀÌ¿þÀÌ]°¨»çº¸°í¼_(,2021,[½Å°øÇ×ÇÏÀÌ¿þÀÌ]°¨»çº¸°í¼_(2022.03.25).pdf,0.9779681827430996,0.5055693052722279,3.8912187508181573,3.8912187508181573,0.022180024205414352,0.6697739746064082,0.3894429698258938,0.1495452071990586,0.2957956617214622,0.8794575944326244,0.3839977064316117,0.7595352455680532,0.6753119625804863,0.5244784507149476,7.2392898817186015,5.513270893447362,0.12148395889678641,273749554007,183350326834,106609839301,712893721556,352476538016,360417183540,33256179567,6225897000,51174900410,352476538016,0.7327351006549946,0.24464945018217507
[½Å°øÇ×ÇÏÀÌ¿þÀÌ]°¨»çº¸°í¼_(,2022,[½Å°øÇ×ÇÏÀÌ¿þÀÌ]°¨»çº¸°í¼_(2023.03.28).pdf,0.8654088090270553,0.5360755214411,8.771323505815612,8.771323505815612,0.0266352350174011,0.4572210507783926,0.41272776160232805,0.10316072190134215,0.19243691938035393,0.8011852010957272,0.24994858960018226,0.4662563008440682,0.4768502099625204,0.2569125858607838,3.973534384997185,2.267619976414684,0.20163036819833505,161895063624,74021831106,66818587224,647713451326,300490125162,347223326164,32642961288,4274413000,51411685000,300490125162,0.6809166492370519,0.30649879394905666
