회사명,사업연도,원본파일,부채비율,자기자본비율,유동비율,당좌비율,차입금의존도,영업이익률,순이익률,ROA_총자산수익률,ROE_자기자본수익률,EBITDA_마진,총자산회전율,자기자본회전율,영업현금흐름_매출비,영업현금흐름_부채상환비,DSCR_근사,이자보상배율,금융비용_매출비,영업수익_원본,영업이익_원본,당기순이익_원본,자산총계_원본,부채총계_원본,자본총계_원본,이자비용_원본,감가상각비_원본,순부채,고정장기적합률,유동성지표,등급,등급사유
[¼_¿ï°í¼Óµµ·Î]°¨»çº¸°í¼_(,2019,[¼_¿ï°í¼Óµµ·Î]°¨»çº¸°í¼_(2020.04.09).pdf,2.528369791777529,1.0,4.372908209094765,4.372908209094765,2.2044301403170494,0.7111020507546709,0.6108231051133557,0.1348243657028802,0.1348243657028802,0.7111279043993243,0.22072571350728404,0.22072571350728404,-0.790451086317877,-0.06900607679601364,0.4868564720421159,0.4868387719713586,1.4606520509350598,201128199514,143022675139,122853751353,911213271522,2303884109583,911213271522,293778317121,5199897,2303884109583,0.25791614468394014,0.07783747506171784,C,DSCR 1.0 미만 (0.49)
[¼_¿ï°í¼Óµµ·Î]°¨»çº¸°í¼_(,2020,[¼_¿ï°í¼Óµµ·Î]°¨»çº¸°í¼_(2021.04.01).pdf,2.7731764678041695,1.0,4.411146847128861,4.411146847128861,2.4635469025631047,0.651460458313125,0.7278218959239546,0.14334897058097743,0.14334897058097743,0.6515042928253727,0.19695611163085291,0.19695611163085291,-0.5351453628023694,-0.03800701146807787,0.5038736461732527,0.5038397445462678,1.2929914032482628,168796448748,109964211863,122853751353,857025696488,2376683493804,857025696488,218252357130,7399110,2376683493804,0.2384247322010753,0.09891738749771199,C,DSCR 1.0 미만 (0.50)
[¼_¿ï°í¼Óµµ·Î]°¨»çº¸°í¼_(,2021,[¼_¿ï°í¼Óµµ·Î]°¨»çº¸°í¼_(2022.04.07).pdf,2.8516486328370374,1.0,1.879285479586647,1.879285479586647,0.04479478038458969,0.651460458313125,-0.43979699204945266,-0.08693837780170541,-0.08693837780170541,0.6515042928253727,0.19767842748667477,0.19767842748667477,-0.5381248988988356,-0.03730322262736733,0.49941649903889657,0.499382897297688,1.3045309758070907,168796448748,109964211863,-74236170428,853894129441,2435006026808,853894129441,220200195998,7399110,2435006026808,0.23048477161605235,0.061539321197114305,C,당기순손실 (순이익률 -44.0%)
[¼_¿ï°í¼Óµµ·Î]°¨»çº¸°í¼_(,2022,[¼_¿ï°í¼Óµµ·Î]°¨»çº¸°í¼_(2023.04.04).pdf,2.9505861491437204,1.0,1.1427452909799434,1.1427452909799434,0.09129090799699434,0.6503905594845962,0.4739622807557051,0.09365572824147302,0.09365572824147302,0.6504209537453397,0.1976016490007273,0.1976016490007273,-0.5883030791112357,-0.03939883557655889,0.48158852276621195,0.4815660180682195,1.3505740336363616,165586327053,107695783895,78481673232,837980492017,2472533632998,837980492017,223636593643,5032874,2472533632998,0.2258386368762581,0.016741641102207654,C,DSCR 1.0 미만 (0.48)
[¼_¿ï°í¼Óµµ·Î]°¨»çº¸°í¼_(,2023,[¼_¿ï°í¼Óµµ·Î]°¨»çº¸°í¼_(2024.04.01).pdf,3.1238870429949634,1.0,0.9358553603673778,0.9358553603673778,2.8547033432064284,0.6261631364287958,0.4819728203586822,0.09846809437273263,0.09846809437273263,0.6261957556943519,0.20430217268154888,0.20430217268154888,-0.5982461174185455,-0.03912528843223826,0.4521203376423923,0.4520967861679169,1.3850201009750764,162834230307,101960792367,78481673232,797026424975,2489820521904,797026424975,225528682102,5311533,2489820521904,0.22099771070414417,-0.007952863548029567,C,DSCR 1.0 미만 (0.45)
[¼_¿ï°í¼Óµµ·Î]°¨»çº¸°í¼_(,2024,[¼_¿ï°í¼Óµµ·Î]°¨»çº¸°í¼_(2025.04.02).pdf,-1.4092439518539854,-2.400798083313691,0.8304353762303263,0.8304353762303263,3.1111791989387307,0.6211235222797754,0.6650513360847362,0.14175016708222873,-0.05904293579182581,0.6211561415453315,0.21314169206355507,-0.0887795160888196,-0.5826564247524889,-0.036706175227869516,0.44848167987455745,0.44845812840008203,1.3850201009750764,162834230307,101140170676,108293122426,763971744479,2584753379207,-1834141899851,225528682102,5311533,2584753379207,1.0467127862299959,-0.021932787759614044,C,DSCR 1.0 미만 (0.45)
[½Å°øÇ×ÇÏÀÌ¿þÀÌ]°¨»çº¸°í¼_(,2019,[½Å°øÇ×ÇÏÀÌ¿þÀÌ]°¨»çº¸°í¼_(2020.03.31).pdf,,,3.892693128790082,3.892693128790082,,0.6408403703357703,0.4324515255069124,,,0.6409749288276219,,,0.6673956414301389,,4.841492157781456,4.840475793718273,0.13239202046365378,261660171094,167682400946,113155340154,,,,34641718726,35208598,0,1.8700487231974665,,A,"우량 (영익률 64.1%, DSCR 4.84)"
[½Å°øÇ×ÇÏÀÌ¿þÀÌ]°¨»çº¸°í¼_(,2020,[½Å°øÇ×ÇÏÀÌ¿þÀÌ]°¨»çº¸°í¼_(2021.03.30).pdf,,,3.6376696121160332,3.6376696121160332,,0.6408403703357703,0.28846924602018964,,,0.6409662567320923,,,0.5624291366267267,,4.898026470296043,4.8970644931327225,0.13086214633979948,261660171094,167682400946,75480912269,,,,34241411601,32939456,0,1.772406683836337,,A,"우량 (영익률 64.1%, DSCR 4.90)"
[½Å°øÇ×ÇÏÀÌ¿þÀÌ]°¨»çº¸°í¼_(,2021,[½Å°øÇ×ÇÏÀÌ¿þÀÌ]°¨»çº¸°í¼_(2022.03.25).pdf,,,3.8912187508181573,3.8912187508181573,,0.6697739746064082,0.3894429698258938,,,0.6699055079786931,,,0.6753119625804863,,5.414039549305069,5.412976523443777,0.12373487520324455,273749554007,183350326834,106609839301,,,,33872366902,36007202,0,1.7233019446836215,,A,"우량 (영익률 67.0%, DSCR 5.41)"
[½Å°øÇ×ÇÏÀÌ¿þÀÌ]°¨»çº¸°í¼_(,2022,[½Å°øÇ×ÇÏÀÌ¿þÀÌ]°¨»çº¸°í¼_(2023.03.28).pdf,,,3.8912187508181573,3.8912187508181573,,0.6697739746064082,0.3894429698258938,,,0.6699055079786931,,,0.6753119625804863,,5.514353615590099,5.513270893447362,0.12148395889678641,273749554007,183350326834,106609839301,,,,33256179567,36007202,0,1.636680915292206,,A,"우량 (영익률 67.0%, DSCR 5.51)"
