distress_time_years,censored
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
18,1
16,1
16,1
30,1
30,1
30,1
30,1
17,1
17,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
24,1
24,1
24,1
9,1
24,1
24,1
8,1
8,1
8,1
16,1
16,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
18,1
17,1
17,1
18,1
17,1
18,1
17,1
18,1
18,1
18,1
18,1
18,1
10,1
10,1
26,1
26,1
26,1
18,1
18,1
18,1
18,1
26,1
26,1
26,1
26,1
26,1
11,1
11,1
11,1
11,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
18,1
18,1
16,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
24,1
24,1
24,1
9,1
24,1
24,1
8,1
8,1
8,1
8,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
18,1
17,1
17,1
17,1
18,1
17,1
18,1
17,1
18,1
18,1
18,1
18,1
18,1
10,1
10,1
26,1
26,1
26,1
17,1
26,1
17,1
26,1
26,1
26,1
26,1
26,1
11,1
11,1
11,1
11,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
29,1
29,1
29,1
16,1
16,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
15,1
15,1
15,1
30,1
30,1
30,1
24,1
24,1
24,1
9,1
10,1
10,1
28,1
28,1
28,1
8,1
8,1
17,1
17,1
26,1
18,1
8,1
8,1
1,0
8,1
9,0
15,1
18,1
26,1
26,1
26,1
26,1
17,1
17,1
10,1
17,1
17,1
17,1
17,1
17,1
17,1
17,1
26,1
11,1
26,1
26,1
26,1
17,1
26,1
17,1
17,1
26,1
26,1
26,1
26,1
11,1
11,1
11,1
11,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
15,1
15,1
15,1
16,1
16,1
30,1
30,1
23,1
30,1
17,1
17,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
24,1
24,1
24,1
9,1
10,1
10,1
28,1
28,1
28,1
28,1
8,1
18,1
18,1
26,1
26,1
26,1
15,1
1,0
15,1
18,1
18,1
26,1
18,1
26,1
17,1
17,1
10,1
17,1
17,1
17,1
26,1
26,1
26,1
26,1
26,1
26,1
17,1
26,1
17,1
17,1
26,1
26,1
9,1
9,1
26,1
9,1
11,1
26,1
9,1
9,1
9,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
29,1
16,1
16,1
16,1
16,1
30,1
9,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
17,1
17,1
15,1
17,1
30,1
15,1
30,1
24,1
24,1
9,1
9,1
24,1
28,1
28,1
28,1
26,1
28,1
18,1
18,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
10,1
13,1
11,1
11,1
11,1
28,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
13,1
13,1
26,1
13,1
26,1
26,1
9,1
9,1
9,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
29,1
16,1
16,1
16,1
30,1
30,1
9,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
15,1
30,1
24,1
24,1
24,1
9,1
9,1
16,1
16,1
28,1
28,1
26,1
28,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
10,1
13,1
11,1
11,1
11,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
9,1
9,1
9,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
29,1
16,1
16,1
30,1
30,1
9,1
30,1
17,1
17,1
17,1
30,1
30,1
30,1
30,1
30,1
30,1
15,1
30,1
24,1
24,1
24,1
24,1
24,1
24,1
28,1
28,1
17,1
17,1
17,1
17,1
17,1
18,1
9,1
9,1
26,1
26,1
17,1
17,1
26,1
26,1
26,1
26,1
26,1
28,1
28,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
9,1
9,1
9,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
29,1
16,1
16,1
16,1
16,1
23,1
23,1
23,1
30,1
17,1
17,1
17,1
30,1
30,1
30,1
30,1
30,1
30,1
15,1
30,1
24,1
24,1
24,1
24,1
24,1
24,1
28,1
28,1
28,1
26,1
28,1
26,1
18,1
26,1
18,1
12,1
26,1
11,1
11,1
11,1
26,1
26,1
26,1
26,1
26,1
26,1
28,1
28,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
26,1
30,1
30,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
30,1
9,1
9,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
10,1
10,1
10,1
10,1
23,1
23,1
23,1
23,1
12,1
12,1
23,1
23,1
23,1
12,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
12,1
10,1
12,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
10,1
10,1
10,1
23,1
23,1
23,1
9,1
9,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
10,1
10,1
10,1
10,1
23,1
23,1
23,1
23,1
12,1
12,1
23,1
23,1
23,1
12,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
12,1
10,1
12,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
30,1
23,1
10,1
10,1
10,1
23,1
23,1
30,1
9,1
9,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
10,1
10,1
10,1
10,1
23,1
23,1
9,1
23,1
12,1
12,1
23,1
23,1
23,1
12,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
12,1
10,1
12,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
30,1
23,1
23,1
23,1
23,1
23,1
23,1
30,1
9,1
9,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
12,1
12,1
12,1
23,1
23,1
9,1
23,1
12,1
12,1
23,1
23,1
23,1
12,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
12,1
10,1
12,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
9,1
9,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
9,1
9,1
9,1
9,1
9,1
23,1
23,1
10,1
10,1
10,1
23,1
10,1
23,1
23,1
9,1
23,1
23,1
9,1
9,1
9,1
9,1
9,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
11,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
11,1
11,1
11,1
9,1
10,1
10,1
10,1
11,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
9,1
9,1
9,1
23,1
23,1
10,1
10,1
10,1
23,1
10,1
23,1
23,1
9,1
23,1
23,1
9,1
9,1
9,1
9,1
9,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
11,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
11,1
11,1
11,1
9,1
10,1
10,1
11,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
11,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
11,1
11,1
11,1
11,1
11,1
23,1
10,1
23,1
23,1
9,1
10,1
9,1
10,1
23,1
9,1
23,1
9,1
9,1
9,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
11,1
11,1
11,1
9,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
10,1
10,1
10,1
23,1
23,1
11,1
11,1
23,1
11,1
23,1
23,1
9,1
23,1
23,1
9,1
9,1
10,1
10,1
9,1
10,1
23,1
9,1
23,1
9,1
9,1
9,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
23,1
9,1
10,1
23,1
23,1
23,1
23,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
